matrix_row,meter_id_hash,service_point_id_hash,feeder_id_hash,dt_id_hash,locality,consumer_category,premise_subtype
56,MTR_000057_HASH,SP_000057_HASH,FDR_010_HASH,DT_0040_HASH,Banashankari,RESIDENTIAL,2BHK_SMALL_FAMILY
57,MTR_000058_HASH,SP_000058_HASH,FDR_005_HASH,DT_0080_HASH,Whitefield,RESIDENTIAL,3BHK_FAMILY
58,MTR_000059_HASH,SP_000059_HASH,FDR_001_HASH,DT_0046_HASH,Indiranagar,RESIDENTIAL,3BHK_FAMILY
59,MTR_000060_HASH,SP_000060_HASH,FDR_011_HASH,DT_0116_HASH,Rajajinagar,COMMERCIAL,KIRANA_RETAIL_SHOP
60,MTR_000061_HASH,SP_000061_HASH,FDR_014_HASH,DT_0029_HASH,Domlur,COMMERCIAL,SMALL_OFFICE
61,MTR_000062_HASH,SP_000062_HASH,FDR_008_HASH,DT_0038_HASH,Hebbal,COMMERCIAL,BAKERY
62,MTR_000063_HASH,SP_000063_HASH,FDR_012_HASH,DT_0012_HASH,KR Puram,COMMERCIAL,RESTAURANT_CAFE
63,MTR_000064_HASH,SP_000064_HASH,FDR_008_HASH,DT_0068_HASH,Hebbal,RESIDENTIAL,3BHK_FAMILY
64,MTR_000065_HASH,SP_000065_HASH,FDR_006_HASH,DT_0096_HASH,Peenya,RESIDENTIAL,3BHK_FAMILY
65,MTR_000066_HASH,SP_000066_HASH,FDR_010_HASH,DT_0040_HASH,Banashankari,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
66,MTR_000067_HASH,SP_000067_HASH,FDR_012_HASH,DT_0027_HASH,KR Puram,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT
67,MTR_000068_HASH,SP_000068_HASH,FDR_005_HASH,DT_0110_HASH,Whitefield,RESIDENTIAL,2BHK_SMALL_FAMILY
68,MTR_000069_HASH,SP_000069_HASH,FDR_001_HASH,DT_0016_HASH,Indiranagar,COMMERCIAL,CLINIC
69,MTR_000070_HASH,SP_000070_HASH,FDR_011_HASH,DT_0056_HASH,Rajajinagar,RESIDENTIAL,2BHK_SMALL_FAMILY
70,MTR_000071_HASH,SP_000071_HASH,FDR_012_HASH,DT_0072_HASH,KR Puram,APARTMENT_COMMON_AREA,GATED_COMMUNITY_COMMON_AREA
71,MTR_000072_HASH,SP_000072_HASH,FDR_009_HASH,DT_0114_HASH,Yelahanka,RESIDENTIAL,PG_OR_HOSTEL
72,MTR_000073_HASH,SP_000073_HASH,FDR_002_HASH,DT_0032_HASH,Domlur,COMMERCIAL,CLINIC
73,MTR_000074_HASH,SP_000074_HASH,FDR_005_HASH,DT_0065_HASH,Whitefield,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT
74,MTR_000075_HASH,SP_000075_HASH,FDR_011_HASH,DT_0071_HASH,Rajajinagar,RESIDENTIAL,3BHK_FAMILY
75,MTR_000076_HASH,SP_000076_HASH,FDR_002_HASH,DT_0092_HASH,Domlur,COMMERCIAL,KIRANA_RETAIL_SHOP
76,MTR_000077_HASH,SP_000077_HASH,FDR_012_HASH,DT_0042_HASH,KR Puram,RESIDENTIAL,2BHK_SMALL_FAMILY
77,MTR_000078_HASH,SP_000078_HASH,FDR_001_HASH,DT_0016_HASH,Indiranagar,PUBLIC_LIGHTING,STREET_LIGHTING_FEED
78,MTR_000079_HASH,SP_000079_HASH,FDR_001_HASH,DT_0091_HASH,Indiranagar,COMMERCIAL,SALON
79,MTR_000080_HASH,SP_000080_HASH,FDR_015_HASH,DT_0120_HASH,Jayanagar,COMMERCIAL,SMALL_OFFICE
80,MTR_000081_HASH,SP_000081_HASH,FDR_012_HASH,DT_0117_HASH,KR Puram,COMMERCIAL,RESTAURANT_CAFE
81,MTR_000082_HASH,SP_000082_HASH,FDR_008_HASH,DT_0098_HASH,Hebbal,COMMERCIAL,SMALL_OFFICE
82,MTR_000083_HASH,SP_000083_HASH,FDR_005_HASH,DT_0050_HASH,Whitefield,RESIDENTIAL,3BHK_FAMILY
83,MTR_000084_HASH,SP_000084_HASH,FDR_006_HASH,DT_0036_HASH,Peenya,SMALL_INDUSTRY,WELDING_WORKSHOP
84,MTR_000085_HASH,SP_000085_HASH,FDR_008_HASH,DT_0053_HASH,Hebbal,RESIDENTIAL,3BHK_FAMILY
85,MTR_000086_HASH,SP_000086_HASH,FDR_007_HASH,DT_0052_HASH,Electronic City,SMALL_INDUSTRY,WELDING_WORKSHOP
86,MTR_000087_HASH,SP_000087_HASH,FDR_002_HASH,DT_0002_HASH,Domlur,COMMERCIAL,KIRANA_RETAIL_SHOP
87,MTR_000088_HASH,SP_000088_HASH,FDR_005_HASH,DT_0095_HASH,Whitefield,RESIDENTIAL,3BHK_FAMILY
88,MTR_000089_HASH,SP_000089_HASH,FDR_007_HASH,DT_0037_HASH,Electronic City,COMMERCIAL,KIRANA_RETAIL_SHOP
89,MTR_000090_HASH,SP_000090_HASH,FDR_001_HASH,DT_0046_HASH,Indiranagar,RESIDENTIAL,2BHK_SMALL_FAMILY
90,MTR_000091_HASH,SP_000091_HASH,FDR_008_HASH,DT_0038_HASH,Hebbal,SMALL_INDUSTRY,GARMENT_UNIT
91,MTR_000092_HASH,SP_000092_HASH,FDR_005_HASH,DT_0050_HASH,Whitefield,RESIDENTIAL,4BHK_VILLA_HIGH_LOAD
92,MTR_000093_HASH,SP_000093_HASH,FDR_005_HASH,DT_0110_HASH,Whitefield,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
93,MTR_000094_HASH,SP_000094_HASH,FDR_007_HASH,DT_0082_HASH,Electronic City,RESIDENTIAL,PG_OR_HOSTEL
94,MTR_000095_HASH,SP_000095_HASH,FDR_005_HASH,DT_0095_HASH,Whitefield,COMMERCIAL,KIRANA_RETAIL_SHOP
95,MTR_000096_HASH,SP_000096_HASH,FDR_014_HASH,DT_0059_HASH,Domlur,RESIDENTIAL,4BHK_VILLA_HIGH_LOAD
96,MTR_000097_HASH,SP_000097_HASH,FDR_012_HASH,DT_0102_HASH,KR Puram,SMALL_INDUSTRY,GARMENT_UNIT
97,MTR_000098_HASH,SP_000098_HASH,FDR_013_HASH,DT_0013_HASH,Indiranagar,RESIDENTIAL,2BHK_SMALL_FAMILY
98,MTR_000099_HASH,SP_000099_HASH,FDR_004_HASH,DT_0079_HASH,Koramangala,SMALL_INDUSTRY,MACHINE_SHOP
99,MTR_000100_HASH,SP_000100_HASH,FDR_001_HASH,DT_0061_HASH,Indiranagar,RESIDENTIAL,PG_OR_HOSTEL
100,MTR_000101_HASH,SP_000101_HASH,FDR_004_HASH,DT_0064_HASH,Koramangala,COMMERCIAL,RESTAURANT_CAFE
101,MTR_000102_HASH,SP_000102_HASH,FDR_011_HASH,DT_0101_HASH,Rajajinagar,COMMERCIAL,CLINIC
102,MTR_000103_HASH,SP_000103_HASH,FDR_010_HASH,DT_0040_HASH,Banashankari,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
103,MTR_000104_HASH,SP_000104_HASH,FDR_012_HASH,DT_0117_HASH,KR Puram,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
104,MTR_000105_HASH,SP_000105_HASH,FDR_011_HASH,DT_0011_HASH,Rajajinagar,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
105,MTR_000106_HASH,SP_000106_HASH,FDR_008_HASH,DT_0113_HASH,Hebbal,APARTMENT_COMMON_AREA,GATED_COMMUNITY_COMMON_AREA
106,MTR_000107_HASH,SP_000107_HASH,FDR_012_HASH,DT_0027_HASH,KR Puram,SMALL_INDUSTRY,SMALL_PACKAGING_UNIT
107,MTR_000108_HASH,SP_000108_HASH,FDR_008_HASH,DT_0098_HASH,Hebbal,RESIDENTIAL,4BHK_VILLA_HIGH_LOAD
108,MTR_000109_HASH,SP_000109_HASH,FDR_005_HASH,DT_0020_HASH,Whitefield,COMMERCIAL,RESTAURANT_CAFE
109,MTR_000110_HASH,SP_000110_HASH,FDR_011_HASH,DT_0026_HASH,Rajajinagar,COMMERCIAL,SALON
110,MTR_000111_HASH,SP_000111_HASH,FDR_011_HASH,DT_0116_HASH,Rajajinagar,RESIDENTIAL,2BHK_SMALL_FAMILY
111,MTR_000112_HASH,SP_000112_HASH,FDR_010_HASH,DT_0055_HASH,Banashankari,RESIDENTIAL,2BHK_SMALL_FAMILY
112,MTR_000113_HASH,SP_000113_HASH,FDR_005_HASH,DT_0095_HASH,Whitefield,RESIDENTIAL,2BHK_SMALL_FAMILY
113,MTR_000114_HASH,SP_000114_HASH,FDR_008_HASH,DT_0008_HASH,Hebbal,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
114,MTR_000115_HASH,SP_000115_HASH,FDR_006_HASH,DT_0096_HASH,Peenya,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
115,MTR_000116_HASH,SP_000116_HASH,FDR_004_HASH,DT_0079_HASH,Koramangala,SMALL_INDUSTRY,MACHINE_SHOP
116,MTR_000117_HASH,SP_000117_HASH,FDR_005_HASH,DT_0020_HASH,Whitefield,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT
117,MTR_000118_HASH,SP_000118_HASH,FDR_002_HASH,DT_0107_HASH,Domlur,SMALL_INDUSTRY,COLD_STORAGE
118,MTR_000119_HASH,SP_000119_HASH,FDR_008_HASH,DT_0053_HASH,Hebbal,COMMERCIAL,RESTAURANT_CAFE
119,MTR_000120_HASH,SP_000120_HASH,FDR_006_HASH,DT_0111_HASH,Peenya,SMALL_INDUSTRY,WELDING_WORKSHOP
120,MTR_000121_HASH,SP_000121_HASH,FDR_010_HASH,DT_0115_HASH,Banashankari,RESIDENTIAL,2BHK_SMALL_FAMILY
121,MTR_000122_HASH,SP_000122_HASH,FDR_014_HASH,DT_0089_HASH,Domlur,COMMERCIAL,SMALL_OFFICE
122,MTR_000123_HASH,SP_000123_HASH,FDR_014_HASH,DT_0089_HASH,Domlur,COMMERCIAL,KIRANA_RETAIL_SHOP
123,MTR_000124_HASH,SP_000124_HASH,FDR_013_HASH,DT_0028_HASH,Indiranagar,COMMERCIAL,SMALL_OFFICE
124,MTR_000125_HASH,SP_000125_HASH,FDR_012_HASH,DT_0042_HASH,KR Puram,RESIDENTIAL,2BHK_SMALL_FAMILY
125,MTR_000126_HASH,SP_000126_HASH,FDR_010_HASH,DT_0085_HASH,Banashankari,RESIDENTIAL,2BHK_SMALL_FAMILY
126,MTR_000127_HASH,SP_000127_HASH,FDR_007_HASH,DT_0007_HASH,Electronic City,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
127,MTR_000128_HASH,SP_000128_HASH,FDR_008_HASH,DT_0068_HASH,Hebbal,PUBLIC_LIGHTING,STREET_LIGHTING_FEED
128,MTR_000129_HASH,SP_000129_HASH,FDR_015_HASH,DT_0090_HASH,Jayanagar,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT
129,MTR_000130_HASH,SP_000130_HASH,FDR_010_HASH,DT_0040_HASH,Banashankari,COMMERCIAL,SUPERMARKET_MINI_MART
130,MTR_000131_HASH,SP_000131_HASH,FDR_006_HASH,DT_0006_HASH,Peenya,RESIDENTIAL,2BHK_SMALL_FAMILY
131,MTR_000132_HASH,SP_000132_HASH,FDR_008_HASH,DT_0008_HASH,Hebbal,RESIDENTIAL,2BHK_SMALL_FAMILY
132,MTR_000133_HASH,SP_000133_HASH,FDR_001_HASH,DT_0061_HASH,Indiranagar,RESIDENTIAL,3BHK_FAMILY
133,MTR_000134_HASH,SP_000134_HASH,FDR_005_HASH,DT_0035_HASH,Whitefield,RESIDENTIAL,4BHK_VILLA_HIGH_LOAD
134,MTR_000135_HASH,SP_000135_HASH,FDR_013_HASH,DT_0043_HASH,Indiranagar,COMMERCIAL,SMALL_OFFICE
135,MTR_000136_HASH,SP_000136_HASH,FDR_012_HASH,DT_0012_HASH,KR Puram,RESIDENTIAL,3BHK_FAMILY
136,MTR_000137_HASH,SP_000137_HASH,FDR_009_HASH,DT_0054_HASH,Yelahanka,RESIDENTIAL,2BHK_SMALL_FAMILY
137,MTR_000138_HASH,SP_000138_HASH,FDR_006_HASH,DT_0051_HASH,Peenya,RESIDENTIAL,3BHK_FAMILY
138,MTR_000139_HASH,SP_000139_HASH,FDR_012_HASH,DT_0102_HASH,KR Puram,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
139,MTR_000140_HASH,SP_000140_HASH,FDR_005_HASH,DT_0050_HASH,Whitefield,RESIDENTIAL,2BHK_SMALL_FAMILY
140,MTR_000141_HASH,SP_000141_HASH,FDR_003_HASH,DT_0048_HASH,Jayanagar,COMMERCIAL,SALON
141,MTR_000142_HASH,SP_000142_HASH,FDR_012_HASH,DT_0072_HASH,KR Puram,RESIDENTIAL,2BHK_SMALL_FAMILY
142,MTR_000143_HASH,SP_000143_HASH,FDR_005_HASH,DT_0080_HASH,Whitefield,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
143,MTR_000144_HASH,SP_000144_HASH,FDR_012_HASH,DT_0117_HASH,KR Puram,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
144,MTR_000145_HASH,SP_000145_HASH,FDR_015_HASH,DT_0120_HASH,Jayanagar,RESIDENTIAL,2BHK_SMALL_FAMILY
145,MTR_000146_HASH,SP_000146_HASH,FDR_015_HASH,DT_0120_HASH,Jayanagar,COMMERCIAL,SALON
146,MTR_000147_HASH,SP_000147_HASH,FDR_002_HASH,DT_0032_HASH,Domlur,COMMERCIAL,CLINIC
147,MTR_000148_HASH,SP_000148_HASH,FDR_005_HASH,DT_0035_HASH,Whitefield,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT
148,MTR_000149_HASH,SP_000149_HASH,FDR_006_HASH,DT_0021_HASH,Peenya,SMALL_INDUSTRY,COLD_STORAGE
149,MTR_000150_HASH,SP_000150_HASH,FDR_012_HASH,DT_0042_HASH,KR Puram,RESIDENTIAL,3BHK_FAMILY
150,MTR_000151_HASH,SP_000151_HASH,FDR_013_HASH,DT_0073_HASH,Indiranagar,PUBLIC_LIGHTING,STREET_LIGHTING_FEED
151,MTR_000152_HASH,SP_000152_HASH,FDR_005_HASH,DT_0020_HASH,Whitefield,RESIDENTIAL,PG_OR_HOSTEL
152,MTR_000153_HASH,SP_000153_HASH,FDR_005_HASH,DT_0020_HASH,Whitefield,COMMERCIAL,KIRANA_RETAIL_SHOP
153,MTR_000154_HASH,SP_000154_HASH,FDR_011_HASH,DT_0071_HASH,Rajajinagar,RESIDENTIAL,2BHK_SMALL_FAMILY
154,MTR_000155_HASH,SP_000155_HASH,FDR_007_HASH,DT_0082_HASH,Electronic City,RESIDENTIAL,3BHK_FAMILY
155,MTR_000156_HASH,SP_000156_HASH,FDR_005_HASH,DT_0035_HASH,Whitefield,RESIDENTIAL,2BHK_SMALL_FAMILY
156,MTR_000157_HASH,SP_000157_HASH,FDR_002_HASH,DT_0047_HASH,Domlur,RESIDENTIAL,4BHK_VILLA_HIGH_LOAD
157,MTR_000158_HASH,SP_000158_HASH,FDR_007_HASH,DT_0022_HASH,Electronic City,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
158,MTR_000159_HASH,SP_000159_HASH,FDR_010_HASH,DT_0055_HASH,Banashankari,RESIDENTIAL,2BHK_SMALL_FAMILY
159,MTR_000160_HASH,SP_000160_HASH,FDR_001_HASH,DT_0031_HASH,Indiranagar,COMMERCIAL,CLINIC
160,MTR_000161_HASH,SP_000161_HASH,FDR_007_HASH,DT_0037_HASH,Electronic City,COMMERCIAL,SMALL_OFFICE
161,MTR_000162_HASH,SP_000162_HASH,FDR_004_HASH,DT_0019_HASH,Koramangala,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
162,MTR_000163_HASH,SP_000163_HASH,FDR_010_HASH,DT_0070_HASH,Banashankari,COMMERCIAL,SMALL_OFFICE
163,MTR_000164_HASH,SP_000164_HASH,FDR_007_HASH,DT_0022_HASH,Electronic City,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
164,MTR_000165_HASH,SP_000165_HASH,FDR_005_HASH,DT_0020_HASH,Whitefield,APARTMENT_COMMON_AREA,GATED_COMMUNITY_COMMON_AREA
165,MTR_000166_HASH,SP_000166_HASH,FDR_005_HASH,DT_0020_HASH,Whitefield,COMMERCIAL,SUPERMARKET_MINI_MART
166,MTR_000167_HASH,SP_000167_HASH,FDR_010_HASH,DT_0085_HASH,Banashankari,RESIDENTIAL,3BHK_FAMILY
167,MTR_000168_HASH,SP_000168_HASH,FDR_008_HASH,DT_0113_HASH,Hebbal,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
168,MTR_000169_HASH,SP_000169_HASH,FDR_012_HASH,DT_0042_HASH,KR Puram,RESIDENTIAL,2BHK_SMALL_FAMILY
169,MTR_000170_HASH,SP_000170_HASH,FDR_008_HASH,DT_0098_HASH,Hebbal,RESIDENTIAL,3BHK_FAMILY
170,MTR_000171_HASH,SP_000171_HASH,FDR_011_HASH,DT_0101_HASH,Rajajinagar,RESIDENTIAL,3BHK_FAMILY
171,MTR_000172_HASH,SP_000172_HASH,FDR_011_HASH,DT_0086_HASH,Rajajinagar,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
172,MTR_000173_HASH,SP_000173_HASH,FDR_013_HASH,DT_0103_HASH,Indiranagar,RESIDENTIAL,3BHK_FAMILY
173,MTR_000174_HASH,SP_000174_HASH,FDR_006_HASH,DT_0066_HASH,Peenya,SMALL_INDUSTRY,COLD_STORAGE
174,MTR_000175_HASH,SP_000175_HASH,FDR_012_HASH,DT_0102_HASH,KR Puram,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE
175,MTR_000176_HASH,SP_000176_HASH,FDR_009_HASH,DT_0069_HASH,Yelahanka,SMALL_INDUSTRY,WELDING_WORKSHOP
176,MTR_000177_HASH,SP_000177_HASH,FDR_008_HASH,DT_0023_HASH,Hebbal,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT
177,MTR_000178_HASH,SP_000178_HASH,FDR_006_HASH,DT_0096_HASH,Peenya,RESIDENTIAL,3BHK_FAMILY
178,MTR_000179_HASH,SP_000179_HASH,FDR_009_HASH,DT_0024_HASH,Yelahanka,RESIDENTIAL,3BHK_FAMILY
179,MTR_000180_HASH,SP_000180_HASH,FDR_007_HASH,DT_0112_HASH,Electronic City,SMALL_INDUSTRY,WELDING_WORKSHOP
180,MTR_000181_HASH,SP_000181_HASH,FDR_006_HASH,DT_0081_HASH,Peenya,RESIDENTIAL,2BHK_SMALL_FAMILY
181,MTR_000182_HASH,SP_000182_HASH,FDR_009_HASH,DT_0069_HASH,Yelahanka,RESIDENTIAL,3BHK_FAMILY
182,MTR_000183_HASH,SP_000183_HASH,FDR_007_HASH,DT_0082_HASH,Electronic City,RESIDENTIAL,2BHK_SMALL_FAMILY
183,MTR_000184_HASH,SP_000184_HASH,FDR_002_HASH,DT_0092_HASH,Domlur,COMMERCIAL,SUPERMARKET_MINI_MART
184,MTR_000185_HASH,SP_000185_HASH,FDR_003_HASH,DT_0108_HASH,Jayanagar,RESIDENTIAL,2BHK_SMALL_FAMILY
185,MTR_000186_HASH,SP_000186_HASH,FDR_014_HASH,DT_0044_HASH,Domlur,COMMERCIAL,KIRANA_RETAIL_SHOP
