case_id,case_type,priority,meter_id_hash,service_point_id_hash,locality,zone,feeder_id_hash,dt_id_hash,consumer_category,premise_subtype,alert_fingerprint,confidence_pct,risk_tier,recommended_team,recommended_action,estimated_revenue_impact_inr,risk_score,independent_signal_count,one_line_reason
ALT-V4-0011,ANOMALY_THEFT,P1,MTR_000060_HASH,SP_000060_HASH,Rajajinagar,West Circle,FDR_011_HASH,DT_0116_HASH,COMMERCIAL,KIRANA_RETAIL_SHOP,Billing Cycle Drop + Low Power Factor + Tamper Event,70.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,1237.12,62.04805415167246,3,"KIRANA_RETAIL_SHOP Rajajinagar COMMERCIAL meter, dropped 59% consumption, 3 tamper events"
ALT-V4-0012,ANOMALY_THEFT,P1,MTR_000014_HASH,SP_000014_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0079_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,Sudden Drop + Billing Cycle Drop,66.5,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,516.6,58.45442304805237,2,"1BHK_SINGLE_OR_COUPLE Koramangala RESIDENTIAL meter, dropped 53% consumption, 17-pt peer rank drop, 1 tamper events"
ALT-V4-0013,ANOMALY_THEFT,P1,MTR_000080_HASH,SP_000080_HASH,Jayanagar,South Circle,FDR_015_HASH,DT_0120_HASH,COMMERCIAL,SMALL_OFFICE,Peer Drift + Low Power Factor,56.7,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,2113.12,52.714273388043125,2,"SMALL_OFFICE Jayanagar COMMERCIAL meter, dropped 41% consumption, 33-pt peer rank drop"
ALT-V4-0014,COMMUNICATION,P1,MTR_000237_HASH,SP_000237_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0034_HASH,COMMERCIAL,RESTAURANT_CAFE,Communication Failure + Reading Plateau + After-Hours Commercial + Low Power Factor,54.8,MULTI_SIGNAL_CONFIRMED,IT/AMI,Verify communication module and data pipeline,0.0,50.76632652692397,4,RESTAURANT_CAFE Koramangala COMMERCIAL meter
ALT-V4-0015,ANOMALY_THEFT,P1,MTR_000009_HASH,SP_000009_HASH,Electronic City,South Circle,FDR_007_HASH,DT_0067_HASH,COMMERCIAL,CLINIC,Billing Cycle Drop + Low Power Factor,48.2,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,986.48,44.2491008605537,2,"CLINIC Electronic City COMMERCIAL meter, dropped 53% consumption, 17-pt peer rank drop"
ALT-V4-0016,ANOMALY_THEFT,P1,MTR_000289_HASH,SP_000289_HASH,Rajajinagar,West Circle,FDR_011_HASH,DT_0116_HASH,COMMERCIAL,KIRANA_RETAIL_SHOP,Billing Cycle Drop + Low Power Factor,47.7,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,1300.8,43.7426142417798,2,"KIRANA_RETAIL_SHOP Rajajinagar COMMERCIAL meter, dropped 59% consumption"
ALT-V4-0017,ANOMALY_THEFT,P1,MTR_000220_HASH,SP_000220_HASH,Domlur,East Circle,FDR_014_HASH,DT_0089_HASH,COMMERCIAL,BAKERY,After-Hours Commercial + Low Power Factor,40.9,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,0.0,36.916215317583365,2,BAKERY Domlur COMMERCIAL meter
ALT-V4-0018,ANOMALY_THEFT,P1,MTR_000081_HASH,SP_000081_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0117_HASH,COMMERCIAL,RESTAURANT_CAFE,After-Hours Commercial + Low Power Factor,37.8,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,0.0,33.79596892465563,2,RESTAURANT_CAFE KR Puram COMMERCIAL meter
ALT-V4-0019,ANOMALY_THEFT,P1,MTR_000101_HASH,SP_000101_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0064_HASH,COMMERCIAL,RESTAURANT_CAFE,After-Hours Commercial + Low Power Factor,36.1,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,0.0,32.051455174239095,2,RESTAURANT_CAFE Koramangala COMMERCIAL meter
ALT-V4-0020,ANOMALY_THEFT,P1,MTR_000196_HASH,SP_000196_HASH,Electronic City,South Circle,FDR_007_HASH,DT_0112_HASH,COMMERCIAL,RESTAURANT_CAFE,After-Hours Commercial + Low Power Factor,36.1,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,0.0,32.122721298259435,2,RESTAURANT_CAFE Electronic City COMMERCIAL meter
ALT-V4-0021,ANOMALY_THEFT,P1,MTR_000190_HASH,SP_000190_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0019_HASH,COMMERCIAL,RESTAURANT_CAFE,After-Hours Commercial + Low Power Factor,35.5,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,0.0,31.514749083642087,2,RESTAURANT_CAFE Koramangala COMMERCIAL meter
ALT-V4-0022,ANOMALY_THEFT,P1,MTR_000119_HASH,SP_000119_HASH,Hebbal,North Circle,FDR_008_HASH,DT_0053_HASH,COMMERCIAL,RESTAURANT_CAFE,After-Hours Commercial + Low Power Factor,34.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,0.0,29.986198474514776,2,RESTAURANT_CAFE Hebbal COMMERCIAL meter
ALT-V4-0023,ANOMALY_THEFT,P1,MTR_000062_HASH,SP_000062_HASH,Hebbal,North Circle,FDR_008_HASH,DT_0038_HASH,COMMERCIAL,BAKERY,After-Hours Commercial + Low Power Factor,33.6,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,0.0,29.60526626504412,2,BAKERY Hebbal COMMERCIAL meter
ALT-V4-0024,ANOMALY_THEFT,P1,MTR_000202_HASH,SP_000202_HASH,Hebbal,North Circle,FDR_008_HASH,DT_0053_HASH,COMMERCIAL,RESTAURANT_CAFE,After-Hours Commercial + Low Power Factor,33.5,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,0.0,29.501497071172253,2,RESTAURANT_CAFE Hebbal COMMERCIAL meter
ALT-V4-0025,ANOMALY_THEFT,P1,MTR_000053_HASH,SP_000053_HASH,Indiranagar,East Circle,FDR_013_HASH,DT_0013_HASH,COMMERCIAL,SUPERMARKET_MINI_MART,After-Hours Commercial + Low Power Factor,33.4,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,0.0,29.369185074742585,2,SUPERMARKET_MINI_MART Indiranagar COMMERCIAL meter
ALT-V4-0026,ANOMALY_THEFT,P2,MTR_000024_HASH,SP_000024_HASH,Jayanagar,South Circle,FDR_015_HASH,DT_0075_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,Billing Cycle Drop,46.8,SINGLE_SIGNAL_PROBABLE,Vigilance,Schedule vigilance inspection within 7 days,639.24,22.779631548047632,1,"2BHK_SMALL_FAMILY Jayanagar RESIDENTIAL meter, dropped 66% consumption"
ALT-V4-0027,ANOMALY_THEFT,P2,MTR_000173_HASH,SP_000173_HASH,Indiranagar,East Circle,FDR_013_HASH,DT_0103_HASH,RESIDENTIAL,3BHK_FAMILY,Billing Cycle Drop,44.6,SINGLE_SIGNAL_PROBABLE,Vigilance,Schedule vigilance inspection within 7 days,1027.74,20.62972857895312,1,"3BHK_FAMILY Indiranagar RESIDENTIAL meter, dropped 67% consumption, 28-pt peer rank drop"
ALT-V4-0028,ANOMALY_THEFT,P2,MTR_000244_HASH,SP_000244_HASH,Electronic City,South Circle,FDR_007_HASH,DT_0052_HASH,RESIDENTIAL,3BHK_FAMILY,Peer Drift,38.7,SINGLE_SIGNAL_REVIEW,Vigilance,Schedule vigilance inspection within 7 days,447.42,34.66107861226117,1,"3BHK_FAMILY Electronic City RESIDENTIAL meter, dropped 26% consumption, 33-pt peer rank drop"
ALT-V4-0029,METER_HEALTH,P2,MTR_000151_HASH,SP_000151_HASH,Indiranagar,East Circle,FDR_013_HASH,DT_0073_HASH,PUBLIC_LIGHTING,STREET_LIGHTING_FEED,Reading Plateau + Low Power Factor,36.8,SINGLE_SIGNAL_REVIEW,Metering,Schedule meter health check,8.94,36.76552303961263,2,"STREET_LIGHTING_FEED Indiranagar PUBLIC_LIGHTING meter, dropped 1% consumption"
ALT-V4-0030,ANOMALY_THEFT,P2,MTR_000083_HASH,SP_000083_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0050_HASH,RESIDENTIAL,3BHK_FAMILY,Tamper Event,25.5,SINGLE_SIGNAL_REVIEW,Vigilance,Schedule vigilance inspection within 7 days,0.0,21.51583309955242,1,"3BHK_FAMILY Whitefield RESIDENTIAL meter, 2 tamper events"
ALT-V4-0031,METER_HEALTH,P3,MTR_000099_HASH,SP_000099_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0079_HASH,SMALL_INDUSTRY,MACHINE_SHOP,Low Power Factor,40.7,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,40.7043430356744,1,"MACHINE_SHOP Koramangala SMALL_INDUSTRY meter, dropped 19% consumption, 12-pt peer rank drop"
ALT-V4-0032,METER_HEALTH,P3,MTR_000256_HASH,SP_000256_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0095_HASH,SMALL_INDUSTRY,COLD_STORAGE,Low Power Factor,39.7,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,39.72123902135492,1,COLD_STORAGE Whitefield SMALL_INDUSTRY meter
ALT-V4-0033,METER_HEALTH,P3,MTR_000086_HASH,SP_000086_HASH,Electronic City,South Circle,FDR_007_HASH,DT_0052_HASH,SMALL_INDUSTRY,WELDING_WORKSHOP,Low Power Factor,36.7,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,36.676603757847445,1,WELDING_WORKSHOP Electronic City SMALL_INDUSTRY meter
ALT-V4-0034,METER_HEALTH,P3,MTR_000333_HASH,SP_000333_HASH,Hebbal,North Circle,FDR_008_HASH,DT_0008_HASH,SMALL_INDUSTRY,COLD_STORAGE,Low Power Factor,29.0,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,28.992508367798674,1,COLD_STORAGE Hebbal SMALL_INDUSTRY meter
ALT-V4-0035,COMMUNICATION,P3,MTR_000054_HASH,SP_000054_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0095_HASH,COMMERCIAL,SMALL_OFFICE,Communication Failure + Low Power Factor,26.9,CLUSTER_WATCHLIST,IT/AMI,Verify communication module and data pipeline,0.0,26.9376369079774,2,SMALL_OFFICE Whitefield COMMERCIAL meter
ALT-V4-0036,METER_HEALTH,P3,MTR_000116_HASH,SP_000116_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0079_HASH,SMALL_INDUSTRY,MACHINE_SHOP,Low Power Factor,24.4,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,24.401636065337158,1,MACHINE_SHOP Koramangala SMALL_INDUSTRY meter
ALT-V4-0037,METER_HEALTH,P3,MTR_000018_HASH,SP_000018_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0079_HASH,COMMERCIAL,SALON,Low Power Factor,23.9,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,23.93383398374123,1,"SALON Koramangala COMMERCIAL meter, dropped 19% consumption"
ALT-V4-0038,METER_HEALTH,P3,MTR_000193_HASH,SP_000193_HASH,Rajajinagar,West Circle,FDR_011_HASH,DT_0101_HASH,SMALL_INDUSTRY,GARMENT_UNIT,Low Power Factor,23.0,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,22.978159391574746,1,GARMENT_UNIT Rajajinagar SMALL_INDUSTRY meter
ALT-V4-0039,METER_HEALTH,P3,MTR_000262_HASH,SP_000262_HASH,Domlur,East Circle,FDR_002_HASH,DT_0017_HASH,COMMERCIAL,KIRANA_RETAIL_SHOP,Low Power Factor,18.9,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,18.924661934432176,1,KIRANA_RETAIL_SHOP Domlur COMMERCIAL meter
ALT-V4-0040,METER_HEALTH,P3,MTR_000315_HASH,SP_000315_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0012_HASH,COMMERCIAL,SUPERMARKET_MINI_MART,Low Power Factor,18.9,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,18.945767328137613,1,SUPERMARKET_MINI_MART KR Puram COMMERCIAL meter
ALT-V4-0041,METER_HEALTH,P3,MTR_000095_HASH,SP_000095_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0095_HASH,COMMERCIAL,KIRANA_RETAIL_SHOP,Low Power Factor,18.5,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,18.510011959090434,1,KIRANA_RETAIL_SHOP Whitefield COMMERCIAL meter
ALT-V4-0042,METER_HEALTH,P3,MTR_000342_HASH,SP_000342_HASH,Domlur,East Circle,FDR_014_HASH,DT_0014_HASH,COMMERCIAL,KIRANA_RETAIL_SHOP,Low Power Factor,18.1,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,18.112890000268425,1,KIRANA_RETAIL_SHOP Domlur COMMERCIAL meter
ALT-V4-0043,METER_HEALTH,P3,MTR_000122_HASH,SP_000122_HASH,Domlur,East Circle,FDR_014_HASH,DT_0089_HASH,COMMERCIAL,SMALL_OFFICE,Low Power Factor,17.7,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,17.693347682984687,1,SMALL_OFFICE Domlur COMMERCIAL meter
ALT-V4-0044,METER_HEALTH,P3,MTR_000146_HASH,SP_000146_HASH,Jayanagar,South Circle,FDR_015_HASH,DT_0120_HASH,COMMERCIAL,SALON,Low Power Factor,17.3,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,17.26329907200396,1,SALON Jayanagar COMMERCIAL meter
ALT-V4-0045,METER_HEALTH,P3,MTR_000331_HASH,SP_000331_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0079_HASH,COMMERCIAL,RESTAURANT_CAFE,Low Power Factor,16.9,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,16.852624346082507,1,RESTAURANT_CAFE Koramangala COMMERCIAL meter
ALT-V4-0046,METER_HEALTH,P3,MTR_000037_HASH,SP_000037_HASH,Domlur,East Circle,FDR_014_HASH,DT_0014_HASH,COMMERCIAL,SALON,Low Power Factor,16.8,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,16.800177754003943,1,SALON Domlur COMMERCIAL meter
ALT-V4-0047,METER_HEALTH,P3,MTR_000344_HASH,SP_000344_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0079_HASH,COMMERCIAL,KIRANA_RETAIL_SHOP,Low Power Factor,15.8,CLUSTER_WATCHLIST,Metering,Schedule meter health check,0.0,15.833851248349893,1,KIRANA_RETAIL_SHOP Koramangala COMMERCIAL meter
