case_id,meter_id_hash,locality,zone,consumer_category,premise_subtype,expected_vs_actual_summary,peer_comparison,communication_check,event_log_summary,outage_check,triggered_signals,signal_count,confidence_pct,risk_tier,recommended_team,recommended_action,alert_fingerprint,one_line_reason,estimated_monthly_loss_inr_low,estimated_monthly_loss_inr_high,audit_note
ALT-V4-0015,MTR_000009_HASH,Electronic City,South Circle,COMMERCIAL,CLINIC,"First 30 days: 234.3 kWh, Last 30 days: 111.0 kWh, Drop: 52.6%",Peer rank dropped from 33 percentile to 17 percentile (17 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality","Billing Cycle Drop, Pf Register",2,48.2,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Billing Cycle Drop + Low Power Factor,"CLINIC Electronic City COMMERCIAL meter, dropped 53% consumption, 17-pt peer rank drop",690.54,1282.42,Evidence generated by Aletheon v4.0. Read-only record. SHA256: c1472565f67c0abc. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0016,MTR_000289_HASH,Rajajinagar,West Circle,COMMERCIAL,KIRANA_RETAIL_SHOP,"First 30 days: 273.6 kWh, Last 30 days: 111.0 kWh, Drop: 59.4%",Peer rank dropped from 25 percentile to 25 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality","Billing Cycle Drop, Pf Register",2,47.7,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,Billing Cycle Drop + Low Power Factor,"KIRANA_RETAIL_SHOP Rajajinagar COMMERCIAL meter, dropped 59% consumption",910.56,1691.04,Evidence generated by Aletheon v4.0. Read-only record. SHA256: dd5ae4b040f5897b. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0017,MTR_000220_HASH,Domlur,East Circle,COMMERCIAL,BAKERY,"First 30 days: 780.5 kWh, Last 30 days: 839.0 kWh, Drop: -7.5%",Peer rank dropped from 90 percentile to 90 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 6 events in locality","After Hours Commercial, Pf Register",2,40.9,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,After-Hours Commercial + Low Power Factor,BAKERY Domlur COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 4d2829b76493c98e. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0018,MTR_000081_HASH,KR Puram,East Circle,COMMERCIAL,RESTAURANT_CAFE,"First 30 days: 768.0 kWh, Last 30 days: 811.7 kWh, Drop: -5.7%",Peer rank dropped from 57 percentile to 71 percentile (-14 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 1 events in locality","After Hours Commercial, Pf Register",2,37.8,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,After-Hours Commercial + Low Power Factor,RESTAURANT_CAFE KR Puram COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 0ddd3b29415727cc. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0019,MTR_000101_HASH,Koramangala,South Circle,COMMERCIAL,RESTAURANT_CAFE,"First 30 days: 809.8 kWh, Last 30 days: 868.9 kWh, Drop: -7.3%",Peer rank dropped from 50 percentile to 50 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,Outage overlap: no,"After Hours Commercial, Pf Register",2,36.1,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,After-Hours Commercial + Low Power Factor,RESTAURANT_CAFE Koramangala COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: e59ca8b838ea3658. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0020,MTR_000196_HASH,Electronic City,South Circle,COMMERCIAL,RESTAURANT_CAFE,"First 30 days: 922.7 kWh, Last 30 days: 1002.6 kWh, Drop: -8.7%",Peer rank dropped from 100 percentile to 100 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality","After Hours Commercial, Pf Register",2,36.1,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,After-Hours Commercial + Low Power Factor,RESTAURANT_CAFE Electronic City COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 618bcbc52506a06b. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0021,MTR_000190_HASH,Koramangala,South Circle,COMMERCIAL,RESTAURANT_CAFE,"First 30 days: 940.9 kWh, Last 30 days: 1015.9 kWh, Drop: -8.0%",Peer rank dropped from 75 percentile to 75 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,Outage overlap: no,"After Hours Commercial, Pf Register",2,35.5,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,After-Hours Commercial + Low Power Factor,RESTAURANT_CAFE Koramangala COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 33960a872f5b8776. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0022,MTR_000119_HASH,Hebbal,North Circle,COMMERCIAL,RESTAURANT_CAFE,"First 30 days: 629.8 kWh, Last 30 days: 660.6 kWh, Drop: -4.9%",Peer rank dropped from 100 percentile to 100 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality","After Hours Commercial, Pf Register",2,34.0,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,After-Hours Commercial + Low Power Factor,RESTAURANT_CAFE Hebbal COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 9252c0473d56e7b0. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0023,MTR_000062_HASH,Hebbal,North Circle,COMMERCIAL,BAKERY,"First 30 days: 482.6 kWh, Last 30 days: 500.4 kWh, Drop: -3.7%",Peer rank dropped from 50 percentile to 50 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality","After Hours Commercial, Pf Register",2,33.6,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,After-Hours Commercial + Low Power Factor,BAKERY Hebbal COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: d1881c4b4f98e7b4. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0024,MTR_000202_HASH,Hebbal,North Circle,COMMERCIAL,RESTAURANT_CAFE,"First 30 days: 554.9 kWh, Last 30 days: 572.4 kWh, Drop: -3.2%",Peer rank dropped from 75 percentile to 75 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality","After Hours Commercial, Pf Register",2,33.5,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,After-Hours Commercial + Low Power Factor,RESTAURANT_CAFE Hebbal COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: a307064e7c13a04b. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0025,MTR_000053_HASH,Indiranagar,East Circle,COMMERCIAL,SUPERMARKET_MINI_MART,"First 30 days: 638.1 kWh, Last 30 days: 674.7 kWh, Drop: -5.7%",Peer rank dropped from 83 percentile to 83 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality","After Hours Commercial, Pf Register",2,33.4,MULTI_SIGNAL_CONFIRMED,Vigilance,Schedule vigilance inspection within 7 days,After-Hours Commercial + Low Power Factor,SUPERMARKET_MINI_MART Indiranagar COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 46b80f2b522c8624. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0026,MTR_000024_HASH,Jayanagar,South Circle,RESIDENTIAL,2BHK_SMALL_FAMILY,"First 30 days: 162.5 kWh, Last 30 days: 56.0 kWh, Drop: 65.5%",Peer rank dropped from 33 percentile to 33 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality",Billing Cycle Drop,1,46.8,SINGLE_SIGNAL_PROBABLE,Vigilance,Schedule vigilance inspection within 7 days,Billing Cycle Drop,"2BHK_SMALL_FAMILY Jayanagar RESIDENTIAL meter, dropped 66% consumption",447.47,831.01,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 7f68331b4bd7f737. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0027,MTR_000173_HASH,Indiranagar,East Circle,RESIDENTIAL,3BHK_FAMILY,"First 30 days: 254.7 kWh, Last 30 days: 83.4 kWh, Drop: 67.2%",Peer rank dropped from 57 percentile to 29 percentile (28 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality",Billing Cycle Drop,1,44.6,SINGLE_SIGNAL_PROBABLE,Vigilance,Schedule vigilance inspection within 7 days,Billing Cycle Drop,"3BHK_FAMILY Indiranagar RESIDENTIAL meter, dropped 67% consumption, 28-pt peer rank drop",719.42,1336.06,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 3b552929a1e9f0b0. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0028,MTR_000244_HASH,Electronic City,South Circle,RESIDENTIAL,3BHK_FAMILY,"First 30 days: 290.1 kWh, Last 30 days: 215.6 kWh, Drop: 25.7%",Peer rank dropped from 67 percentile to 33 percentile (33 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality",Peer Drift,1,38.7,SINGLE_SIGNAL_REVIEW,Vigilance,Schedule vigilance inspection within 7 days,Peer Drift,"3BHK_FAMILY Electronic City RESIDENTIAL meter, dropped 26% consumption, 33-pt peer rank drop",313.19,581.65,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 0d49f7e3a0daaa3d. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0029,MTR_000151_HASH,Indiranagar,East Circle,PUBLIC_LIGHTING,STREET_LIGHTING_FEED,"First 30 days: 281.3 kWh, Last 30 days: 279.8 kWh, Drop: 0.5%",Peer rank dropped from 33 percentile to 67 percentile (-33 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality","Reading Plateau, Pf Register",2,36.8,SINGLE_SIGNAL_REVIEW,Metering,Schedule meter health check,Reading Plateau + Low Power Factor,"STREET_LIGHTING_FEED Indiranagar PUBLIC_LIGHTING meter, dropped 1% consumption",6.26,11.62,Evidence generated by Aletheon v4.0. Read-only record. SHA256: cec16c9bcceae871. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0030,MTR_000083_HASH,Whitefield,East Circle,RESIDENTIAL,3BHK_FAMILY,"First 30 days: 305.7 kWh, Last 30 days: 322.3 kWh, Drop: -5.4%",Peer rank dropped from 25 percentile to 50 percentile (-25 point drop),"Communication: 100.0% uptime, 0 missed readings",2 events: TAMPER,"Outage overlap: yes, 2 events in locality",Tamper Event,1,25.5,SINGLE_SIGNAL_REVIEW,Vigilance,Schedule vigilance inspection within 7 days,Tamper Event,"3BHK_FAMILY Whitefield RESIDENTIAL meter, 2 tamper events",0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 303aeee0148c6d9d. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0031,MTR_000099_HASH,Koramangala,South Circle,SMALL_INDUSTRY,MACHINE_SHOP,"First 30 days: 2740.6 kWh, Last 30 days: 2209.6 kWh, Drop: 19.4%",Peer rank dropped from 88 percentile to 75 percentile (12 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,Outage overlap: no,Pf Register,1,40.7,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,"MACHINE_SHOP Koramangala SMALL_INDUSTRY meter, dropped 19% consumption, 12-pt peer rank drop",2601.61,4831.55,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 8bc0dc48964fc1c7. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0032,MTR_000256_HASH,Whitefield,East Circle,SMALL_INDUSTRY,COLD_STORAGE,"First 30 days: 3631.5 kWh, Last 30 days: 4014.6 kWh, Drop: -10.6%",Peer rank dropped from 100 percentile to 100 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 2 events in locality",Pf Register,1,39.7,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,COLD_STORAGE Whitefield SMALL_INDUSTRY meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: d80876b3cc48d8aa. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0033,MTR_000086_HASH,Electronic City,South Circle,SMALL_INDUSTRY,WELDING_WORKSHOP,"First 30 days: 1601.2 kWh, Last 30 days: 1659.2 kWh, Drop: -3.6%",Peer rank dropped from 33 percentile to 33 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",1 events: LOW_POWER_FACTOR_ABNORMAL,"Outage overlap: yes, 3 events in locality",Pf Register,1,36.7,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,WELDING_WORKSHOP Electronic City SMALL_INDUSTRY meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: d122822a389c1593. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0034,MTR_000333_HASH,Hebbal,North Circle,SMALL_INDUSTRY,COLD_STORAGE,"First 30 days: 1405.4 kWh, Last 30 days: 1546.1 kWh, Drop: -10.0%",Peer rank dropped from 50 percentile to 56 percentile (-6 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality",Pf Register,1,29.0,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,COLD_STORAGE Hebbal SMALL_INDUSTRY meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: c8fa1b518219efb4. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0035,MTR_000054_HASH,Whitefield,East Circle,COMMERCIAL,SMALL_OFFICE,"First 30 days: 447.4 kWh, Last 30 days: 491.9 kWh, Drop: -9.9%",Peer rank dropped from 57 percentile to 57 percentile (0 point drop),"Communication: 99.6% uptime, 48 missed readings",2 events: COMMUNICATION_LOSS,"Outage overlap: yes, 2 events in locality","Comm Failure, Pf Register",2,26.9,CLUSTER_WATCHLIST,IT/AMI,Verify communication module and data pipeline,Communication Failure + Low Power Factor,SMALL_OFFICE Whitefield COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 265682f94ada550c. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0036,MTR_000116_HASH,Koramangala,South Circle,SMALL_INDUSTRY,MACHINE_SHOP,"First 30 days: 1643.7 kWh, Last 30 days: 1690.6 kWh, Drop: -2.9%",Peer rank dropped from 38 percentile to 38 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,Outage overlap: no,Pf Register,1,24.4,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,MACHINE_SHOP Koramangala SMALL_INDUSTRY meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: b323d5c912fe6366. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0037,MTR_000018_HASH,Koramangala,South Circle,COMMERCIAL,SALON,"First 30 days: 288.5 kWh, Last 30 days: 232.7 kWh, Drop: 19.3%",Peer rank dropped from 17 percentile to 25 percentile (-8 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,Outage overlap: no,Pf Register,1,23.9,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,"SALON Koramangala COMMERCIAL meter, dropped 19% consumption",312.03,579.49,Evidence generated by Aletheon v4.0. Read-only record. SHA256: cd60c814db73f36d. Section 65B Indian Evidence Act compliance maintained.
