case_truth_id,meter_id_hash,primary_label,all_labels,is_suspicious_truth,root_cause_truth,recommended_team_truth,label_source,notes
TRUTH_000030,MTR_000030_HASH,multi_signal_confirmed_suspected_loss,multi_signal_confirmed_suspected_loss,1,multi_signal_suspected_loss_or_meter_irregularity,Vigilance,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000031,MTR_000031_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000032,MTR_000032_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000033,MTR_000033_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000034,MTR_000034_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000035,MTR_000035_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000036,MTR_000036_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000037,MTR_000037_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000038,MTR_000038_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000039,MTR_000039_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000040,MTR_000040_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000041,MTR_000041_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000042,MTR_000042_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000043,MTR_000043_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000044,MTR_000044_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000045,MTR_000045_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000046,MTR_000046_HASH,single_signal_probable_review,single_signal_probable_review,1,probable_suspicious_review_or_false_positive,Vigilance Review,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000047,MTR_000047_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000048,MTR_000048_HASH,solar_daytime_low_import_non_suspicious,solar_daytime_low_import_non_suspicious,0,solar_export_normal,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000049,MTR_000049_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000050,MTR_000050_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000051,MTR_000051_HASH,single_signal_probable_review,single_signal_probable_review,1,probable_suspicious_review_or_false_positive,Vigilance Review,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000052,MTR_000052_HASH,watchlist_monitor_not_inspection_ready,watchlist_monitor_not_inspection_ready,0,weak_signal_needs_more_evidence,Watchlist,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000053,MTR_000053_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000054,MTR_000054_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000055,MTR_000055_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000056,MTR_000056_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000057,MTR_000057_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000058,MTR_000058_HASH,single_signal_probable_review,single_signal_probable_review,1,probable_suspicious_review_or_false_positive,Vigilance Review,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000059,MTR_000059_HASH,solar_daytime_low_import_non_suspicious,solar_daytime_low_import_non_suspicious,0,solar_export_normal,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000060,MTR_000060_HASH,multi_signal_confirmed_suspected_loss,multi_signal_confirmed_suspected_loss,1,multi_signal_suspected_loss_or_meter_irregularity,Vigilance,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000061,MTR_000061_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000062,MTR_000062_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000063,MTR_000063_HASH,multi_signal_confirmed_suspected_loss,multi_signal_confirmed_suspected_loss,1,multi_signal_suspected_loss_or_meter_irregularity,Vigilance,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000064,MTR_000064_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000065,MTR_000065_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000066,MTR_000066_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000067,MTR_000067_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000068,MTR_000068_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000069,MTR_000069_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000070,MTR_000070_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000071,MTR_000071_HASH,ev_night_charging_normal,ev_night_charging_normal,0,ev_consistent_night_charging,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000072,MTR_000072_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000073,MTR_000073_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000074,MTR_000074_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000075,MTR_000075_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000076,MTR_000076_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000077,MTR_000077_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000078,MTR_000078_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000079,MTR_000079_HASH,single_signal_probable_review,single_signal_probable_review,0,probable_suspicious_review_or_false_positive,Vigilance Review,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000080,MTR_000080_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000081,MTR_000081_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000082,MTR_000082_HASH,single_signal_probable_review,single_signal_probable_review,1,probable_suspicious_review_or_false_positive,Vigilance Review,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000083,MTR_000083_HASH,single_signal_probable_review,single_signal_probable_review,1,probable_suspicious_review_or_false_positive,Vigilance Review,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000084,MTR_000084_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000085,MTR_000085_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000086,MTR_000086_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000087,MTR_000087_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000088,MTR_000088_HASH,single_signal_probable_review,single_signal_probable_review,1,probable_suspicious_review_or_false_positive,Vigilance Review,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000089,MTR_000089_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000090,MTR_000090_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000091,MTR_000091_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000092,MTR_000092_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000093,MTR_000093_HASH,watchlist_monitor_not_inspection_ready,watchlist_monitor_not_inspection_ready,0,weak_signal_needs_more_evidence,Watchlist,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000094,MTR_000094_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000095,MTR_000095_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000096,MTR_000096_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000097,MTR_000097_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000098,MTR_000098_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000099,MTR_000099_HASH,watchlist_monitor_not_inspection_ready,watchlist_monitor_not_inspection_ready,0,weak_signal_needs_more_evidence,Watchlist,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000100,MTR_000100_HASH,single_signal_probable_review,single_signal_probable_review,1,probable_suspicious_review_or_false_positive,Vigilance Review,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000101,MTR_000101_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000102,MTR_000102_HASH,multi_signal_confirmed_suspected_loss,multi_signal_confirmed_suspected_loss,1,multi_signal_suspected_loss_or_meter_irregularity,Vigilance,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000103,MTR_000103_HASH,watchlist_monitor_not_inspection_ready,watchlist_monitor_not_inspection_ready,0,weak_signal_needs_more_evidence,Watchlist,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000104,MTR_000104_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000105,MTR_000105_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000106,MTR_000106_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000107,MTR_000107_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000108,MTR_000108_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000109,MTR_000109_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000110,MTR_000110_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000111,MTR_000111_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000112,MTR_000112_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000113,MTR_000113_HASH,normal,normal,0,normal_consumption,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000114,MTR_000114_HASH,normal_low_usage_gruha_jyothi_suppressed,normal_low_usage_gruha_jyothi_suppressed,0,genuine_low_usage_context,No field visit,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000115,MTR_000115_HASH,watchlist_monitor_not_inspection_ready,watchlist_monitor_not_inspection_ready,0,weak_signal_needs_more_evidence,Watchlist,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
TRUTH_000116,MTR_000116_HASH,watchlist_monitor_not_inspection_ready,watchlist_monitor_not_inspection_ready,0,weak_signal_needs_more_evidence,Watchlist,SYNTHETIC_INJECTION_ONLY_DO_NOT_TRAIN_ON_THIS,Synthetic truth labels are evaluation-only; do not use as model features.
